ID,heure,temperature,hygrometrie,masse,position
64,2024/01/03 16:00:00,25.92,67.28,7.31,"52.490497,93.308306"
65,2024/01/03 17:00:00,28.97,32.34,80.64,"-45.089193,-119.738628"
66,2024/01/03 18:00:00,33.11,76.89,96.24,"7.799242,42.817377"
67,2024/01/03 19:00:00,33.26,67.71,12.2,"28.102019,169.369431"
68,2024/01/03 20:00:00,23.22,67.87,59.56,"71.550108,84.167888"
69,2024/01/03 21:00:00,22.26,71.31,43.42,"36.594497,-143.089045"
70,2024/01/03 22:00:00,40.89,93.1,20.44,"-4.814049,168.133917"
71,2024/01/03 23:00:00,38.83,68.5,72.95,"-40.656679,-54.085498"
72,2024/01/04 00:00:00,49.68,90.56,74.33,"-4.879245,-106.595388"
73,2024/01/04 01:00:00,35.44,56.1,96.18,"-32.396528,132.844643"
74,2024/01/04 02:00:00,46.67,47.68,41.17,"-35.220649,-108.566466"
75,2024/01/04 03:00:00,6.14,36.6,38.74,"-60.383478,143.529637"
76,2024/01/04 04:00:00,41.44,54.36,21.38,"60.570259,-149.224028"
77,2024/01/04 05:00:00,9.58,42.0,95.09,"88.657399,-157.364537"
78,2024/01/04 06:00:00,17.84,41.32,94.58,"7.61965,36.09091"
79,2024/01/04 07:00:00,12.37,64.14,22.53,"-27.463136,-154.510443"
80,2024/01/04 08:00:00,2.86,97.62,94.06,"-83.543165,-39.258012"
81,2024/01/04 09:00:00,26.48,83.65,71.83,"68.645471,-167.5032"
82,2024/01/04 10:00:00,32.58,67.54,12.41,"88.543655,88.013438"
83,2024/01/04 11:00:00,21.72,2.34,56.09,"34.569655,-52.802085"
84,2024/01/04 12:00:00,42.39,25.04,57.74,"-14.166419,65.304856"
85,2024/01/04 13:00:00,49.1,15.99,97.38,"-60.563119,-110.808861"
86,2024/01/04 14:00:00,34.1,4.8,56.74,"-2.16133,-162.760505"
87,2024/01/04 15:00:00,19.83,26.4,2.74,"74.12767,23.767859"
88,2024/01/04 16:00:00,16.92,91.37,87.37,"10.285757,83.416841"
89,2024/01/04 17:00:00,26.97,31.04,85.99,"15.007356,22.10546"
90,2024/01/04 18:00:00,26.17,28.35,30.29,"55.776423,58.218562"
91,2024/01/04 19:00:00,29.08,58.74,31.98,"-41.169618,-25.651507"
92,2024/01/04 20:00:00,37.09,28.42,12.16,"68.10459,-101.520373"
93,2024/01/04 21:00:00,38.31,18.5,25.44,"42.663889,-167.492683"
94,2024/01/04 22:00:00,46.65,18.49,40.88,"-39.343586,95.053353"
95,2024/01/04 23:00:00,49.96,54.51,93.72,"-61.312997,-61.038751"
96,2024/01/05 00:00:00,7.68,40.28,24.07,"64.49491,97.073364"
97,2024/01/05 01:00:00,10.96,56.19,52.31,"14.691081,168.397643"
98,2024/01/05 02:00:00,48.9,87.49,48.87,"-52.518676,81.211619"
99,2024/01/05 03:00:00,48.51,12.49,83.57,"19.620281,-85.545644"
100,2024/01/05 04:00:00,44.7,15.09,38.09,"62.923383,61.542917"
101,2024/01/05 05:00:00,16.33,86.8,20.31,"-4.430633,-165.383159"
102,2024/01/05 06:00:00,40.3,39.09,46.42,"-51.528808,143.850313"
103,2024/01/05 07:00:00,33.83,51.38,73.03,"-42.823204,112.319298"
104,2024/01/05 08:00:00,27.28,7.2,8.07,"-41.205683,119.251601"
105,2024/01/05 09:00:00,46.99,21.4,84.1,"-18.612305,179.306346"
106,2024/01/05 10:00:00,30.78,47.1,74.66,"76.639949,-154.538672"
107,2024/01/05 11:00:00,45.65,78.99,33.57,"45.565064,38.009788"
108,2024/01/05 12:00:00,25.23,11.7,67.5,"-18.024292,3.426189"
109,2024/01/05 13:00:00,37.1,26.85,65.35,"-18.209157,-11.468697"
110,2024/01/05 14:00:00,11.0,15.17,10.6,"47.802791,65.88933"
111,2024/01/05 15:00:00,8.06,50.21,73.53,"-33.240649,138.076222"
112,2024/01/05 16:00:00,47.66,67.79,73.25,"67.380966,83.829841"
113,2024/01/05 17:00:00,28.38,72.72,91.01,"-77.017418,91.046464"
114,2024/01/05 18:00:00,48.47,78.56,71.93,"79.210014,10.713013"
115,2024/01/05 19:00:00,8.14,95.85,9.35,"-67.114247,-152.00211"
116,2024/01/05 20:00:00,47.66,45.44,54.95,"33.203293,122.476555"
117,2024/01/05 21:00:00,12.46,99.72,98.21,"26.838359,34.755845"
118,2024/01/05 22:00:00,1.38,22.27,30.16,"-54.655299,-136.981306"
119,2024/01/05 23:00:00,41.12,62.24,84.59,"82.021019,27.161799"
120,2024/01/06 00:00:00,21.19,62.27,15.0,"45.459272,-28.706484"
121,2024/01/06 01:00:00,20.43,21.99,72.45,"-15.403532,126.583554"
122,2024/01/06 02:00:00,26.76,95.96,36.02,"59.479701,109.724207"
123,2024/01/06 03:00:00,23.19,28.07,68.49,"24.029695,40.924837"
124,2024/01/06 04:00:00,21.39,75.17,44.58,"-80.281278,-104.996422"
125,2024/01/06 05:00:00,30.7,7.72,44.59,"-38.938204,-143.219205"
126,2024/01/06 06:00:00,32.06,72.41,32.49,"10.37349,161.359168"
127,2024/01/06 07:00:00,10.98,27.45,44.76,"-13.064779,40.015946"
128,2024/01/06 08:00:00,5.13,24.58,38.98,"26.054938,-44.384112"
129,2024/01/06 09:00:00,41.96,17.63,24.06,"29.257292,71.794919"
130,2024/01/06 10:00:00,17.04,72.52,72.51,"61.920105,68.381199"
131,2024/01/06 11:00:00,31.66,61.72,80.08,"32.100478,-81.296516"
132,2024/01/06 12:00:00,46.85,8.48,94.41,"-57.24898,-67.297072"
133,2024/01/06 13:00:00,5.53,11.16,91.59,"-50.402128,79.703745"
134,2024/01/06 14:00:00,49.14,10.8,71.3,"-72.513519,88.66825"
135,2024/01/06 15:00:00,30.28,26.28,46.84,"-7.748627,174.102502"
136,2024/01/06 16:00:00,11.44,73.75,58.88,"-14.256289,-148.895722"
137,2024/01/06 17:00:00,23.84,63.04,58.29,"-22.40634,51.826711"
138,2024/01/06 18:00:00,32.65,54.92,56.78,"52.708757,-124.5505"
139,2024/01/06 19:00:00,26.1,47.2,35.92,"8.923018,-59.593968"
140,2024/01/06 20:00:00,3.76,95.57,9.49,"76.832018,-174.013732"
141,2024/01/06 21:00:00,32.31,58.59,72.59,"-62.790363,-5.517668"
142,2024/01/06 22:00:00,25.44,60.84,22.95,"33.782911,81.857003"
143,2024/01/06 23:00:00,36.24,56.77,21.28,"-12.996009,-14.364863"
144,2024/01/07 00:00:00,40.02,9.08,8.84,"48.145584,-38.408838"
145,2024/01/07 01:00:00,16.94,22.89,55.71,"-49.549931,-8.728314"
146,2024/01/07 02:00:00,25.57,22.81,99.51,"44.262975,36.475962"
147,2024/01/07 03:00:00,30.57,30.15,45.63,"-6.896332,-0.335421"
148,2024/01/07 04:00:00,46.02,41.36,12.62,"-53.886395,172.043191"
149,2024/01/07 05:00:00,42.03,95.86,60.12,"-45.353223,-21.523641"
150,2024/01/07 06:00:00,6.07,94.04,84.69,"42.373018,101.954238"
151,2024/01/07 07:00:00,46.46,60.55,84.28,"-22.33879,-69.329981"
152,2024/01/07 08:00:00,2.69,99.53,15.62,"38.957524,-5.547217"
153,2024/01/07 09:00:00,11.52,54.73,75.65,"-56.272007,73.686916"
154,2024/01/07 10:00:00,15.66,3.55,77.4,"59.387829,-93.604145"
155,2024/01/07 11:00:00,40.86,86.32,39.74,"-7.259844,145.778605"
156,2024/01/07 12:00:00,3.91,56.47,59.76,"-68.083237,-29.909549"
157,2024/01/07 13:00:00,33.86,49.45,79.93,"-48.697266,159.253954"
158,2024/01/07 14:00:00,9.8,6.73,90.7,"-65.339136,57.049683"
159,2024/01/07 15:00:00,5.63,18.45,46.93,"-50.083816,-6.102074"
160,2024/01/07 16:00:00,11.05,10.75,96.81,"26.404017,29.612386"
161,2024/01/07 17:00:00,14.97,79.65,46.32,"34.017705,160.556378"
162,2024/01/07 18:00:00,38.0,67.29,80.51,"7.003804,145.148118"
163,2024/01/07 19:00:00,16.46,59.48,40.1,"28.108893,-139.994571"
164,2024/01/07 20:00:00,11.47,63.08,40.99,"-45.508966,-1.343283"
165,2024/01/07 21:00:00,47.44,32.71,93.5,"55.803978,-35.90135"
166,2024/01/07 22:00:00,20.79,8.41,61.07,"-57.11933,118.607368"
167,2024/01/07 23:00:00,47.74,55.81,76.93,"-74.630784,143.863555"
168,2024/01/08 00:00:00,41.49,44.58,91.22,"-89.944607,84.898816"
169,2024/01/08 01:00:00,33.86,45.04,64.04,"65.016328,109.044566"
170,2024/01/08 02:00:00,23.88,23.21,46.91,"57.947973,-146.804845"
171,2024/01/08 03:00:00,13.39,94.12,43.3,"46.809832,67.233151"
172,2024/01/08 04:00:00,43.63,6.34,77.73,"-62.772001,135.643995"
173,2024/01/08 05:00:00,49.46,79.7,61.3,"-44.0835,143.538004"
174,2024/01/08 06:00:00,33.81,58.7,73.94,"54.785654,-179.52255"
175,2024/01/08 07:00:00,28.02,40.78,18.96,"60.576285,54.208882"
176,2024/01/08 08:00:00,40.21,95.85,89.1,"-23.297475,-59.969683"
177,2024/01/08 09:00:00,49.51,42.04,6.45,"-76.556084,-27.730501"
178,2024/01/08 10:00:00,41.56,16.2,65.0,"37.315809,-87.663451"
179,2024/01/08 11:00:00,3.15,38.05,49.03,"-30.750947,29.894234"
180,2024/01/08 12:00:00,29.08,49.63,99.31,"-59.980267,56.161309"
181,2024/01/08 13:00:00,10.72,54.06,71.74,"-70.840451,-11.034267"
182,2024/01/08 14:00:00,0.85,65.29,36.01,"-52.083955,45.270719"
183,2024/01/08 15:00:00,7.54,85.0,14.63,"-41.464222,-92.668889"
184,2024/01/08 16:00:00,27.12,15.95,81.1,"32.963603,-166.129442"
185,2024/01/08 17:00:00,3.49,2.86,22.47,"8.922534,164.429245"
186,2024/01/08 18:00:00,35.87,31.91,50.62,"83.425049,120.771046"
187,2024/01/08 19:00:00,30.96,68.19,51.09,"40.811513,-14.955124"
188,2024/01/08 20:00:00,47.19,86.02,97.05,"72.75139,22.539229"
189,2024/01/08 21:00:00,39.51,42.57,50.03,"37.352539,-17.511815"
190,2024/01/08 22:00:00,29.0,70.64,82.55,"58.504288,114.78656"
191,2024/01/08 23:00:00,9.92,98.41,97.01,"10.344608,4.533243"
192,2024/01/09 00:00:00,0.54,46.97,49.94,"-72.694208,-13.184005"
193,2024/01/09 01:00:00,36.85,6.42,70.85,"73.111326,26.621045"
194,2024/01/09 02:00:00,33.1,42.74,29.25,"-67.294333,-112.413877"
195,2024/01/09 03:00:00,28.04,18.41,0.42,"69.16297,-169.066243"
196,2024/01/09 04:00:00,43.45,16.37,0.35,"-16.942861,-26.032428"
197,2024/01/09 05:00:00,11.44,32.02,91.78,"52.906519,131.742765"
198,2024/01/09 06:00:00,5.23,5.44,62.24,"2.262998,-90.820273"
199,2024/01/09 07:00:00,29.56,47.11,45.35,"-34.563819,-106.476987"
200,2024/01/09 08:00:00,46.43,75.35,10.79,"81.856472,17.812061"
201,2024/01/09 09:00:00,0.17,8.45,96.45,"-42.511673,40.994532"
202,2024/01/09 10:00:00,24.28,63.36,44.31,"15.141585,-178.219318"
203,2024/01/09 11:00:00,33.83,45.2,0.48,"-30.907476,-28.449458"
204,2024/01/09 12:00:00,8.44,95.56,62.09,"67.040846,-72.270929"
205,2024/01/09 13:00:00,11.6,99.86,95.31,"39.853624,70.461801"
206,2024/01/09 14:00:00,15.0,62.83,42.89,"78.775984,29.041578"
207,2024/01/09 15:00:00,39.88,38.81,82.66,"8.333235,142.420625"
208,2024/01/09 16:00:00,39.57,37.33,95.48,"-63.655625,-76.65734"
209,2024/01/09 17:00:00,3.87,81.11,83.48,"-63.718416,-91.58955"
210,2024/01/09 18:00:00,1.28,23.09,13.12,"-80.981936,161.094446"
211,2024/01/09 19:00:00,3.03,75.5,38.61,"60.513021,-19.51158"
212,2024/01/09 20:00:00,37.43,85.2,8.07,"39.286991,-106.100925"
213,2024/01/09 21:00:00,6.14,75.98,74.41,"88.12972,-122.812293"
214,2024/01/09 22:00:00,14.99,81.2,81.7,"81.34234,-73.619537"
215,2024/01/09 23:00:00,18.31,80.13,39.71,"44.837014,-2.364551"
216,2024/01/10 00:00:00,30.32,28.02,26.2,"-10.948838,15.421573"
217,2024/01/10 01:00:00,29.76,8.01,27.25,"-9.512265,90.605809"
218,2024/01/10 02:00:00,48.91,52.42,9.51,"30.982377,174.320136"
219,2024/01/10 03:00:00,19.94,96.04,84.91,"47.984102,-45.292412"
220,2024/01/10 04:00:00,24.58,16.59,84.76,"-35.971645,62.415281"
221,2024/01/10 05:00:00,3.73,20.71,56.84,"-6.422501,87.024375"
222,2024/01/10 06:00:00,30.91,42.34,69.62,"-46.110798,166.348192"
223,2024/01/10 07:00:00,43.55,49.94,85.9,"75.778088,-168.589568"
224,2024/01/10 08:00:00,16.64,43.65,86.42,"-79.624526,-82.212646"
225,2024/01/10 09:00:00,15.82,84.91,90.5,"-16.228227,-61.826947"
226,2024/01/10 10:00:00,19.57,79.39,88.15,"-17.318221,159.030868"
227,2024/01/10 11:00:00,2.91,10.35,66.05,"19.080201,21.10842"
228,2024/01/10 12:00:00,5.98,57.03,98.12,"69.002495,-115.271884"
229,2024/01/10 13:00:00,21.14,19.11,40.15,"5.506864,-113.50813"
230,2024/01/10 14:00:00,22.21,35.42,59.51,"58.514125,-62.553714"
231,2024/01/10 15:00:00,15.51,77.61,10.83,"-39.603963,-85.640423"
232,2024/01/10 16:00:00,33.2,70.76,13.68,"46.36067,-104.704382"
233,2024/01/10 17:00:00,44.41,94.36,73.5,"-48.852017,-95.529279"
234,2024/01/10 18:00:00,4.92,18.37,57.14,"36.194129,-159.491533"
235,2024/01/10 19:00:00,21.17,25.68,97.36,"59.27288,163.957503"
236,2024/01/10 20:00:00,4.73,39.38,0.29,"-32.857879,-77.632523"
237,2024/01/10 21:00:00,17.97,69.56,10.16,"40.991161,140.764513"
238,2024/01/10 22:00:00,5.65,39.65,85.08,"-21.400402,-39.765689"
239,2024/01/10 23:00:00,14.02,39.3,30.75,"7.620891,98.822713"
240,2024/01/11 00:00:00,28.62,61.92,43.79,"48.688178,-114.103941"
241,2024/01/11 01:00:00,7.12,7.16,37.91,"-73.796415,12.880363"
242,2024/01/11 02:00:00,29.79,5.19,34.04,"-80.410887,-108.475427"
243,2024/01/11 03:00:00,26.3,78.75,16.22,"23.972916,9.879847"
244,2024/01/11 04:00:00,8.41,25.98,2.92,"72.49384,-65.824214"
245,2024/01/11 05:00:00,18.81,36.76,87.17,"6.076343,106.892146"
246,2024/01/11 06:00:00,28.85,37.61,61.77,"26.750091,-150.376127"
247,2024/01/11 07:00:00,13.73,59.97,66.6,"-64.564971,166.999437"
248,2024/01/11 08:00:00,47.68,59.08,64.29,"15.852012,-140.430964"
249,2024/01/11 09:00:00,46.89,56.21,84.12,"63.155273,111.729574"
250,2024/01/11 10:00:00,1.0,78.3,95.43,"-38.413007,-19.426826"
251,2024/01/11 11:00:00,29.31,56.37,0.1,"63.087434,-22.968747"
252,2024/01/11 12:00:00,9.04,83.69,99.6,"88.974863,-9.348387"
253,2024/01/11 13:00:00,11.65,65.07,28.07,"53.585254,179.511948"
254,2024/01/11 14:00:00,12.65,35.86,85.53,"-37.842252,-101.703322"
255,2024/01/11 15:00:00,45.61,41.45,7.06,"-14.148799,-36.9944"
256,2024/01/11 16:00:00,31.2,96.32,99.02,"74.726346,-54.757014"
257,2024/01/11 17:00:00,31.32,21.57,4.01,"10.085475,93.228792"
258,2024/01/11 18:00:00,23.2,73.41,83.61,"-13.612324,131.80723"
259,2024/01/11 19:00:00,15.61,73.1,94.84,"-78.781497,-3.021141"
260,2024/01/11 20:00:00,13.55,68.73,25.76,"14.449858,-10.312824"
261,2024/01/11 21:00:00,10.27,84.39,39.77,"-84.95405,143.477399"
262,2024/01/11 22:00:00,39.59,95.45,78.45,"-68.289892,136.782924"
263,2024/01/11 23:00:00,32.2,80.74,75.22,"62.183599,-144.129502"
264,2024/01/12 00:00:00,49.04,90.87,84.31,"-23.451397,153.508693"
265,2024/01/12 01:00:00,9.62,2.83,54.61,"30.941001,136.759184"
266,2024/01/12 02:00:00,9.52,50.5,67.18,"23.509834,74.413791"
267,2024/01/12 03:00:00,8.95,38.35,26.21,"-63.717597,-155.278481"
268,2024/01/12 04:00:00,37.5,96.37,45.31,"-65.43886,64.770126"
269,2024/01/12 05:00:00,28.78,73.04,40.01,"-79.396046,86.902235"
270,2024/01/12 06:00:00,40.26,9.49,15.01,"-52.001286,-113.957156"
271,2024/01/12 07:00:00,39.02,44.77,92.39,"-18.398216,-65.689183"
272,2024/01/12 08:00:00,37.6,11.26,25.4,"-49.101231,171.623054"
273,2024/01/12 09:00:00,32.23,17.42,79.53,"9.33746,8.266503"
274,2024/01/12 10:00:00,45.03,11.32,93.42,"70.666006,166.110486"
275,2024/01/12 11:00:00,4.86,58.32,70.93,"47.930558,-109.119115"
276,2024/01/12 12:00:00,31.01,48.41,54.26,"41.32409,-165.735918"
277,2024/01/12 13:00:00,37.38,74.56,68.02,"-81.805275,-168.602581"
278,2024/01/12 14:00:00,6.64,50.32,61.29,"64.296954,-85.672685"
279,2024/01/12 15:00:00,35.39,0.64,57.37,"-17.786827,65.54052"
280,2024/01/12 16:00:00,12.51,87.07,69.74,"62.553665,-56.156452"
281,2024/01/12 17:00:00,0.52,85.17,23.01,"28.493988,90.901015"
282,2024/01/12 18:00:00,24.41,44.16,48.62,"-69.802942,87.233346"
283,2024/01/12 19:00:00,4.03,75.9,44.97,"-44.402957,94.445118"
284,2024/01/12 20:00:00,48.01,42.62,41.13,"-9.555136,53.142806"
285,2024/01/12 21:00:00,17.22,48.7,36.12,"84.817614,-0.316424"
286,2024/01/12 22:00:00,34.77,79.79,29.83,"-13.22772,-115.635138"
287,2024/01/12 23:00:00,9.0,16.28,95.14,"-25.727104,55.04877"
288,2024/01/13 00:00:00,48.99,41.94,91.99,"-29.550905,-91.266634"
289,2024/01/13 01:00:00,4.98,25.19,78.8,"19.086868,-40.659978"
290,2024/01/13 02:00:00,0.43,40.62,95.04,"75.165981,158.136913"
291,2024/01/13 03:00:00,41.13,29.58,83.1,"-60.191752,12.307833"
292,2024/01/13 04:00:00,37.67,47.33,61.06,"55.740659,-59.311974"
293,2024/01/13 05:00:00,28.65,77.59,26.14,"-53.17213,-70.520477"
294,2024/01/13 06:00:00,22.87,66.04,1.25,"-29.590596,66.090584"
295,2024/01/13 07:00:00,7.36,20.14,12.74,"-85.834138,61.381216"
296,2024/01/13 08:00:00,10.94,25.46,87.2,"-50.902859,-77.353478"
297,2024/01/13 09:00:00,29.18,48.62,36.21,"-78.951079,-114.614406"
298,2024/01/13 10:00:00,29.19,70.19,87.04,"-36.324117,-99.664921"
299,2024/01/13 11:00:00,2.65,48.39,57.78,"74.893224,-95.56138"
300,2024/01/13 12:00:00,35.6,43.65,52.76,"-44.811544,109.494108"
301,2024/01/13 13:00:00,37.01,72.48,60.33,"85.163924,-174.434489"
302,2024/01/13 14:00:00,29.96,72.77,10.31,"-13.327751,69.504275"
303,2024/01/13 15:00:00,13.77,63.27,73.63,"25.201519,-30.185606"
304,2024/01/13 16:00:00,45.62,64.82,78.68,"-11.302885,-1.40567"
305,2024/01/13 17:00:00,23.04,74.24,68.91,"-45.693543,-34.326624"
306,2024/01/13 18:00:00,43.29,93.84,82.34,"-74.357715,-45.458053"
307,2024/01/13 19:00:00,3.2,55.62,1.95,"-49.934957,162.792303"
308,2024/01/13 20:00:00,37.28,52.22,98.53,"-85.84159,-55.167186"
309,2024/01/13 21:00:00,0.96,10.0,54.57,"-13.188576,-179.53834"
310,2024/01/13 22:00:00,27.0,97.32,88.16,"-20.342556,18.938686"
311,2024/01/13 23:00:00,38.3,16.76,56.53,"86.983857,87.801886"
312,2024/01/14 00:00:00,43.83,27.18,78.88,"23.63945,-55.291985"
313,2024/01/14 01:00:00,27.28,87.04,12.14,"-2.090012,-141.513469"
314,2024/01/14 02:00:00,29.78,91.06,69.64,"-42.255564,-97.519032"
315,2024/01/14 03:00:00,16.14,77.34,13.03,"-50.477143,-59.290758"
316,2024/01/14 04:00:00,22.06,5.17,20.29,"9.266879,-138.010571"
317,2024/01/14 05:00:00,4.06,36.71,30.96,"-50.006607,-104.335572"
318,2024/01/14 06:00:00,16.73,59.76,27.8,"88.986663,-101.041015"
319,2024/01/14 07:00:00,13.01,94.58,88.66,"-31.603092,-7.78328"
320,2024/01/14 08:00:00,2.77,33.65,34.98,"15.570989,-74.79069"
321,2024/01/14 09:00:00,0.62,84.53,74.22,"-31.89631,108.989534"
322,2024/01/14 10:00:00,21.72,21.51,43.46,"34.312707,63.689478"
323,2024/01/14 11:00:00,27.84,64.07,61.79,"-76.857174,-33.401278"
324,2024/01/14 12:00:00,21.0,70.7,8.61,"25.35741,-58.964751"
325,2024/01/14 13:00:00,11.43,55.72,78.3,"-72.771379,68.800198"
326,2024/01/14 14:00:00,9.84,57.58,86.08,"32.852341,147.592698"
327,2024/01/14 15:00:00,3.38,31.24,90.85,"73.931959,82.47994"
328,2024/01/14 16:00:00,42.09,95.88,14.09,"-24.081257,-176.396321"
329,2024/01/14 17:00:00,7.0,58.12,19.73,"9.942397,2.316784"
330,2024/01/14 18:00:00,14.03,45.55,77.76,"-69.133297,41.205248"
331,2024/01/14 19:00:00,28.49,61.9,35.73,"21.302701,-155.439345"
332,2024/01/14 20:00:00,27.44,76.8,14.19,"-2.881028,-126.324181"
333,2024/01/14 21:00:00,38.19,59.54,52.65,"69.980667,-89.293485"
334,2024/01/14 22:00:00,20.96,31.12,84.78,"-9.053323,73.99465"
335,2024/01/14 23:00:00,31.74,68.51,46.12,"4.878948,45.55716"
336,2024/01/15 00:00:00,34.05,49.48,61.12,"-26.175912,19.585289"
337,2024/01/15 01:00:00,14.46,37.04,54.55,"-12.633102,-5.546511"
338,2024/01/15 02:00:00,12.25,62.06,86.13,"9.905822,-55.566872"
339,2024/01/15 03:00:00,40.57,75.19,97.62,"13.704104,-118.742132"
340,2024/01/15 04:00:00,29.99,53.12,72.7,"-75.641725,162.511921"
341,2024/01/15 05:00:00,9.03,93.9,86.35,"47.988338,131.27754"
342,2024/01/15 06:00:00,21.76,68.99,73.43,"37.350916,37.57704"
343,2024/01/15 07:00:00,23.89,39.2,57.79,"13.766905,-25.816698"
344,2024/01/15 08:00:00,8.74,27.04,96.93,"-54.100681,-92.056362"
345,2024/01/15 09:00:00,47.26,23.5,58.87,"-53.055821,86.327448"
346,2024/01/15 10:00:00,30.37,64.73,59.87,"20.678004,105.893048"
347,2024/01/15 11:00:00,5.62,42.43,35.04,"5.323428,15.756732"
